,Genename,Counts,Sample
0,B9D2,1402.1022,Healthy 7
1,JAG2,16.096037,Healthy 7
2,DNASE1,752.451,Healthy 7
3,TRMU,1638.7338,Healthy 7
4,RRP9,1262.2953,Healthy 7
5,CNOT2,7315.0786,Healthy 7
6,SMO,0.0,Healthy 7
7,RC3H2,3040.6216,Healthy 7
8,CLINT1,7517.6675,Healthy 7
9,CD52,96059.445,Healthy 7
10,CLSPN,128.90031,Healthy 7
11,MEGF9,2686.7158,Healthy 7
12,UBA7,3002.1816,Healthy 7
13,TRBC2,29200.863,Healthy 7
14,CNOT4,4870.9546,Healthy 7
15,TCP1,6518.1514,Healthy 7
16,INSIG2,1421.5693,Healthy 7
17,SEC61A1,5205.85,Healthy 7
18,MED13,2088.186,Healthy 7
19,PLEKHS1,6.6227865,Healthy 7
20,NUFIP2,3138.4507,Healthy 7
21,TSPAN18,283.28577,Healthy 7
22,XPC,3940.6665,Healthy 7
23,EIF3K,66741.484,Healthy 7
24,PIKFYVE,2790.848,Healthy 7
25,LEF1,12121.199,Healthy 7
26,ATG12,6491.937,Healthy 7
27,PPL,0.0,Healthy 7
28,CCDC50,1950.0206,Healthy 7
29,HLA-E,182471.05,Healthy 7
30,MTMR14,6408.0054,Healthy 7
31,AKT2,4206.279,Healthy 7
32,ZNF708,1297.0378,Healthy 7
33,RPS9,274415.1,Healthy 7
34,ACACA,806.8617,Healthy 7
35,IGHG1,222.49026,Healthy 7
36,PPT1,6530.027,Healthy 7
37,DEF6,11944.362,Healthy 7
38,PSME4,2401.2637,Healthy 7
39,ZFR,6950.213,Healthy 7
40,HBS1L,3283.041,Healthy 7
41,FCN1,26045.889,Healthy 7
42,ARHGEF1,25900.623,Healthy 7
43,HIST1H4C,22331.78,Healthy 7
44,KSR1,465.1426,Healthy 7
45,RPS14,702626.2,Healthy 7
46,IGHM,5953.3687,Healthy 7
47,KCNAB2,7382.1353,Healthy 7
48,PFDN5,134378.52,Healthy 7
49,IGLC2,1430.7689,Healthy 7
50,HLA-B,455346.7,Healthy 7
51,LPIN3,0.0,Healthy 7
52,MT-CYB,404742.5,Healthy 7
53,KIF3B,1301.6368,Healthy 7
54,SHOC2,6061.199,Healthy 7
55,RPL11,709872.8,Healthy 7
56,NMT2,1552.2632,Healthy 7
57,ZNF26,837.34576,Healthy 7
58,MT-CO3,475395.47,Healthy 7
59,CSF2RB,747.0085,Healthy 7
60,TMSB4X,619316.6,Healthy 7
61,VCAN,14659.129,Healthy 7
62,S100A8,213429.31,Healthy 7
63,NEU1,2828.405,Healthy 7
64,B4GALT1,8128.0806,Healthy 7
65,HIPK2,3229.138,Healthy 7
66,PANK2,3757.9346,Healthy 7
67,ABCD1,765.67065,Healthy 7
68,PMPCB,7589.671,Healthy 7
69,ACTG1,203174.69,Healthy 7
70,ARFGEF1,2593.0942,Healthy 7
