,Genename,Counts,Sample
0,B9D2,720.861,Moderate 4
1,JAG2,4.4367685,Moderate 4
2,DNASE1,556.6233,Moderate 4
3,TRMU,842.78955,Moderate 4
4,RRP9,569.0949,Moderate 4
5,CNOT2,3346.6682,Moderate 4
6,SMO,3.5198874,Moderate 4
7,RC3H2,1440.9062,Moderate 4
8,CLINT1,1914.7532,Moderate 4
9,CD52,65242.734,Moderate 4
10,CLSPN,74.07139,Moderate 4
11,MEGF9,1850.0076,Moderate 4
12,UBA7,2529.5781,Moderate 4
13,TRBC2,18353.941,Moderate 4
14,CNOT4,2702.2395,Moderate 4
15,TCP1,3403.5637,Moderate 4
16,INSIG2,715.7099,Moderate 4
17,SEC61A1,2443.4353,Moderate 4
18,MED13,887.144,Moderate 4
19,PLEKHS1,0.51663566,Moderate 4
20,NUFIP2,1050.4052,Moderate 4
21,TSPAN18,677.7631,Moderate 4
22,XPC,1726.4502,Moderate 4
23,EIF3K,16739.229,Moderate 4
24,PIKFYVE,1292.6593,Moderate 4
25,LEF1,7749.3843,Moderate 4
26,ATG12,3166.5498,Moderate 4
27,PPL,1.9512196,Moderate 4
28,CCDC50,966.0485,Moderate 4
29,HLA-E,154009.6,Moderate 4
30,MTMR14,2262.7249,Moderate 4
31,AKT2,1517.6688,Moderate 4
32,ZNF708,976.7893,Moderate 4
33,RPS9,65251.75,Moderate 4
34,ACACA,425.95,Moderate 4
35,IGHG1,167.49144,Moderate 4
36,PPT1,3923.0525,Moderate 4
37,DEF6,4943.6543,Moderate 4
38,PSME4,714.1548,Moderate 4
39,ZFR,1655.5509,Moderate 4
40,HBS1L,1384.7306,Moderate 4
41,FCN1,16376.652,Moderate 4
42,ARHGEF1,7610.7524,Moderate 4
43,HIST1H4C,8006.629,Moderate 4
44,KSR1,141.77881,Moderate 4
45,RPS14,129915.914,Moderate 4
46,IGHM,14137.603,Moderate 4
47,KCNAB2,2504.4253,Moderate 4
48,PFDN5,39196.37,Moderate 4
49,IGLC2,1554.7094,Moderate 4
50,HLA-B,428470.5,Moderate 4
51,LPIN3,4.361046,Moderate 4
52,MT-CYB,82646.59,Moderate 4
53,KIF3B,410.7132,Moderate 4
54,SHOC2,4661.763,Moderate 4
55,RPL11,190096.81,Moderate 4
56,NMT2,655.8999,Moderate 4
57,ZNF26,398.58716,Moderate 4
58,MT-CO3,76171.86,Moderate 4
59,CSF2RB,1526.4598,Moderate 4
60,TMSB4X,492212.1,Moderate 4
61,VCAN,8065.216,Moderate 4
62,S100A8,1055307.1,Moderate 4
63,NEU1,1098.8876,Moderate 4
64,B4GALT1,2112.341,Moderate 4
65,HIPK2,1169.2422,Moderate 4
66,PANK2,1997.5475,Moderate 4
67,ABCD1,495.0543,Moderate 4
68,PMPCB,2739.8564,Moderate 4
69,ACTG1,60830.8,Moderate 4
70,ARFGEF1,863.57825,Moderate 4
71,BBX,5044.272,Moderate 4
72,MRPL44,1802.4509,Moderate 4
73,CD8A,8866.793,Moderate 4
74,MRPL10,1699.9425,Moderate 4
75,ZNF439,395.20685,Moderate 4
76,NIN,3265.9314,Moderate 4
77,FMNL3,186.99739,Moderate 4
78,WAC,3946.8408,Moderate 4
79,CTDSP2,1458.2722,Moderate 4
80,ATRX,7319.4575,Moderate 4
81,CCL22,0.0,Moderate 4
82,FGFR1OP,410.7837,Moderate 4
83,CMTM6,8126.358,Moderate 4
84,ZNF664,1161.9233,Moderate 4
85,SPG21,3187.3513,Moderate 4
86,PNRC2,6392.6816,Moderate 4
87,PPP2CA,2756.7537,Moderate 4
88,EIF4A3,1476.1239,Moderate 4
89,KCTD12,993.53564,Moderate 4
90,IGLV6-57,645.87274,Moderate 4
91,ATP2A3,4535.0327,Moderate 4
92,AGO2,822.0049,Moderate 4
93,GK5,743.3628,Moderate 4
94,ALAD,671.6939,Moderate 4
95,SATB1,2945.1846,Moderate 4
96,RPS17,16176.353,Moderate 4
97,RPL22,51974.42,Moderate 4
98,SRSF6,2832.8694,Moderate 4
99,IQGAP2,2654.2937,Moderate 4
100,TEP1,568.6659,Moderate 4
101,CFLAR,8627.372,Moderate 4
102,DDX18,6127.7593,Moderate 4
103,TRAK1,341.37442,Moderate 4
104,AHNAK2,0.0,Moderate 4
105,GLIPR2,5624.888,Moderate 4
106,MT-CO2,229218.34,Moderate 4
107,TFAP2B,0.0,Moderate 4
108,APLP2,5512.0215,Moderate 4
109,SLC35G3,3.9431453,Moderate 4
110,ADAR,12001.822,Moderate 4
111,HLA-A,227729.02,Moderate 4
112,SRL,0.0,Moderate 4
113,SEC63,1783.242,Moderate 4
114,HLA-C,185896.5,Moderate 4
115,DFFA,1162.7803,Moderate 4
116,TKT,8206.065,Moderate 4
117,PCMT1,6245.856,Moderate 4
118,AHNAK,7452.4688,Moderate 4
119,COL7A1,1.6411409,Moderate 4
120,BMPR2,425.9044,Moderate 4
121,FAM107B,3293.418,Moderate 4
122,MT-CO1,155102.31,Moderate 4
123,SNRPD2,16620.094,Moderate 4
124,CORO1C,3224.733,Moderate 4
125,ODC1,8216.958,Moderate 4
126,STK10,3840.7976,Moderate 4
127,LCP1,23697.293,Moderate 4
128,RPS16,75753.36,Moderate 4
129,MTRNR2L8,2.9472442,Moderate 4
130,ISG15,31564.307,Moderate 4
131,YWHAB,28917.38,Moderate 4
132,SERF2,98502.55,Moderate 4
133,PDE4DIP,1027.5054,Moderate 4
134,CFL1,61669.977,Moderate 4
135,IRF2,5895.0347,Moderate 4
136,PLEKHB1,1027.421,Moderate 4
137,TMX4,3533.0278,Moderate 4
138,ALCAM,294.48886,Moderate 4
139,DNAH7,31.333422,Moderate 4
140,TOPBP1,1069.6957,Moderate 4
141,OGFRL1,810.0314,Moderate 4
142,MSN,17653.473,Moderate 4
143,KDM6A,2074.3635,Moderate 4
144,TMEM241,139.34315,Moderate 4
145,AC079612.1,0.0,Moderate 4
146,SEMA3F,0.0,Moderate 4
147,AMPD2,1133.5458,Moderate 4
148,SLC25A6,15278.056,Moderate 4
149,SLA,3319.213,Moderate 4
150,IGLV2-23,3324.3384,Moderate 4
151,SLC38A2,1471.7683,Moderate 4
152,ARID1A,2464.5771,Moderate 4
153,TMBIM6,24436.719,Moderate 4
154,CYBA,35706.617,Moderate 4
155,NAT9,604.4668,Moderate 4
156,ZNF740,551.6216,Moderate 4
157,HMGN1,15010.608,Moderate 4
158,LENG8,2381.2522,Moderate 4
159,RAD23A,5605.55,Moderate 4
160,DDX6,4863.5566,Moderate 4
161,EMC4,3501.306,Moderate 4
162,ANXA5,7988.0845,Moderate 4
163,MIEN1,4741.245,Moderate 4
164,ERP29,15793.814,Moderate 4
165,RNF19B,606.5381,Moderate 4
166,RGL1,64.26146,Moderate 4
167,GNS,1753.3993,Moderate 4
168,ACAP1,8160.1914,Moderate 4
169,LRRC8B,1116.0602,Moderate 4
170,SCAF8,1341.8976,Moderate 4
171,USP3,3336.0154,Moderate 4
172,ZNF106,3511.0696,Moderate 4
173,TYMP,13468.029,Moderate 4
174,TM9SF3,700.8854,Moderate 4
175,KAT6A,2818.3748,Moderate 4
176,AKAP11,894.03845,Moderate 4
177,GZMH,13333.53,Moderate 4
178,HNRNPK,19581.008,Moderate 4
179,NOMO3,86.706436,Moderate 4
180,SHE,0.0,Moderate 4
181,HIVEP1,403.7362,Moderate 4
182,EFR3A,1713.354,Moderate 4
183,TMBIM4,2522.0242,Moderate 4
184,LAPTM5,40644.336,Moderate 4
185,SND1,2128.0513,Moderate 4
186,LCK,12546.376,Moderate 4
187,TMEM245,825.1934,Moderate 4
188,ARF1,22482.367,Moderate 4
189,GRM2,7.437262,Moderate 4
190,KCNK10,0.0,Moderate 4
191,S100A9,232369.17,Moderate 4
192,RPS11,34695.164,Moderate 4
193,CAPN2,10288.873,Moderate 4
194,PHKG2,486.19083,Moderate 4
195,ZC3H18,1535.4789,Moderate 4
196,ADD1,2380.5173,Moderate 4
197,MX1,19592.172,Moderate 4
198,SCMH1,271.09375,Moderate 4
199,ZYX,15575.395,Moderate 4
200,RNMT,3162.3,Moderate 4
201,CANX,4614.3823,Moderate 4
202,IGHG4,3.0959752,Moderate 4
203,IL1RL1,0.0,Moderate 4
204,IGHV5-51,1957.3003,Moderate 4
205,LAMB1,6.2112904,Moderate 4
206,PDIA3,13107.446,Moderate 4
207,ITGB2,24890.389,Moderate 4
208,NT5DC2,46.761654,Moderate 4
209,VIM,58618.57,Moderate 4
210,TNFAIP3,3493.8271,Moderate 4
211,RPS8,159048.33,Moderate 4
212,OXNAD1,4044.7764,Moderate 4
213,SLC25A46,1166.9167,Moderate 4
214,IGHV3-23,2342.3547,Moderate 4
215,CNOT1,2266.1826,Moderate 4
216,LPP,1907.9662,Moderate 4
217,UBE2J1,8024.503,Moderate 4
218,ANKRD28,2495.1445,Moderate 4
219,PRDM4,316.11118,Moderate 4
220,PSMB6,5279.83,Moderate 4
221,UBXN7,1508.377,Moderate 4
222,ZNF227,493.36533,Moderate 4
223,NCOA3,3337.3108,Moderate 4
224,MTX1,1268.1067,Moderate 4
225,PDIA4,2951.3928,Moderate 4
226,CHD4,2542.9321,Moderate 4
227,AC159540.1,245.29745,Moderate 4
228,PLA2G2D,12.506411,Moderate 4
229,CCDC97,966.0674,Moderate 4
230,TMEM154,4607.732,Moderate 4
231,HIST1H2BK,6784.2095,Moderate 4
232,KIAA0319,1.3956734,Moderate 4
233,APOBEC3G,4865.1694,Moderate 4
234,MOSPD1,411.93668,Moderate 4
235,RPN1,5824.18,Moderate 4
236,ARHGAP1,1462.5707,Moderate 4
237,CIR1,8416.543,Moderate 4
238,AACS,160.9322,Moderate 4
239,CHD7,1065.7325,Moderate 4
240,STX6,704.5942,Moderate 4
241,SAMD9,6425.6763,Moderate 4
242,TOM1,2003.5768,Moderate 4
243,SNRPC,4667.0195,Moderate 4
244,PGAP1,240.19461,Moderate 4
245,ANXA1,15929.44,Moderate 4
246,TMEM181,501.49646,Moderate 4
247,ARHGAP12,670.91,Moderate 4
248,IPO11,662.41315,Moderate 4
249,KLF3,6223.7173,Moderate 4
250,CTSS,21655.0,Moderate 4
251,LYZ,27841.62,Moderate 4
252,IFI44L,24115.438,Moderate 4
253,HNRNPUL1,3842.6187,Moderate 4
254,GNAS,10637.949,Moderate 4
255,SNED1,156.72343,Moderate 4
256,IQGAP1,7639.602,Moderate 4
257,HMGXB3,915.2247,Moderate 4
258,KDM5C,1507.3518,Moderate 4
259,RNF213,17643.523,Moderate 4
260,RPS13,162045.11,Moderate 4
261,TMCO1,3963.559,Moderate 4
262,ELL2,362.42877,Moderate 4
263,RPLP1,290928.25,Moderate 4
264,RPL32,224530.6,Moderate 4
265,RAB1B,6972.057,Moderate 4
266,PKM,18884.5,Moderate 4
267,IGHA1,421.58838,Moderate 4
268,NDUFB8,565.779,Moderate 4
269,COPB2,2485.1777,Moderate 4
270,ARAF,1967.8693,Moderate 4
271,COLEC11,0.0,Moderate 4
272,IGHV1-24,240.71985,Moderate 4
273,B2M,1070641.8,Moderate 4
274,SPCS3,3918.0303,Moderate 4
275,SNRNP70,4413.8105,Moderate 4
276,RPS2,56582.508,Moderate 4
277,HSP90B1,11887.089,Moderate 4
278,ANKRD17,1369.0414,Moderate 4
279,GDE1,1409.1334,Moderate 4
280,NCOR1,8193.497,Moderate 4
281,RAB31,6319.158,Moderate 4
282,PSMC2,2037.7616,Moderate 4
283,RPS6,104103.195,Moderate 4
284,CLUH,217.12701,Moderate 4
285,CCND2,2387.2378,Moderate 4
286,RPL14,122762.45,Moderate 4
287,RPS27L,9690.631,Moderate 4
288,GAPDH,67475.27,Moderate 4
289,RPS20,27679.516,Moderate 4
290,SEPT8,89.84766,Moderate 4
291,ZNF622,1644.308,Moderate 4
292,CNR2,473.46497,Moderate 4
293,SREBF2,1137.8123,Moderate 4
294,SEC24C,861.87646,Moderate 4
295,CSTA,5389.164,Moderate 4
296,RPL38,59795.363,Moderate 4
297,TLN1,18177.781,Moderate 4
298,MRPL22,1571.3618,Moderate 4
299,MOV10,1241.8336,Moderate 4
300,ATF4,5956.8804,Moderate 4
301,ATAD2,613.88104,Moderate 4
302,RPL10A,49370.996,Moderate 4
303,ESRRA,205.1305,Moderate 4
304,TGM2,44.963757,Moderate 4
