,Gene index,Gene name
0,1,JAG2
1,2,DNASE1
2,22,XPC
3,31,AKT2
4,35,IGHG1
5,38,PSME4
6,48,PFDN5
7,49,IGLC2
8,50,HLA-B
9,62,S100A8
10,78,WAC
11,105,GLIPR2
12,106,MT-CO2
13,107,TFAP2B
14,116,TKT
15,118,AHNAK
16,130,ISG15
17,154,CYBA
18,166,RGL1
19,185,SND1
20,196,ADD1
21,215,CNOT1
22,217,UBE2J1
23,231,HIST1H2BK
24,241,SAMD9
25,261,TMCO1
26,263,RPLP1
27,265,RAB1B
28,280,NCOR1
29,281,RAB31
30,286,RPL14
31,325,SYTL3
32,326,NNT
33,342,RASSF2
34,371,CSDE1
35,377,CEP350
36,381,NCF2
37,388,IFI27
38,397,LSP1
39,399,CYBB
40,403,MYH9
41,408,H3F3B
42,433,TMX1
43,446,HNRNPC
44,452,MEGF8
45,454,MAP3K2
46,485,PDCD6IP
47,496,GPR180
48,530,PDZD2
49,531,COL2A1
50,536,SPDL1
51,543,CD63
52,554,FAM49B
53,559,RNASE2
54,580,MRPS33
55,614,ADRM1
56,624,PPP2R5A
57,630,CDC5L
58,660,SUGT1
59,661,STAT2
60,693,FRYL
61,698,TRIB1
62,702,ING1
63,703,ACBD3
64,704,RASSF5
65,709,HEXIM1
66,710,EVI2B
67,714,REC8
68,731,CD180
69,735,BTK
70,737,YME1L1
71,741,SSR1
72,749,SRSF2
73,762,TLR1
74,774,RPL23
75,782,ZC3HAV1
76,784,DDX5
77,794,PIK3C2A
78,817,VBP1
79,830,AKR1A1
80,845,H3F3A
81,854,CD163
82,917,NAP1L1
83,931,ACIN1
84,941,TMEM72-AS1
85,977,COX5B
86,1007,PEBP1
87,1027,P2RX7
88,1043,SRSF5
89,1054,ZDHHC7
90,1061,FANCI
91,1063,HMGB2
92,1070,RPS21
93,1087,KIFAP3
94,1091,SFXN1
95,1096,MSH3
96,1097,SLC25A11
97,1108,PLS3
98,1116,C16orf54
99,1140,RMND5A
100,1142,ZC3H4
101,1150,HLA-F
102,1177,SNX19
103,1178,NDRG1
104,1187,RASGRP4
105,1194,NCOR2
106,1220,RAF1
107,1230,STAT5A
108,1248,SRP54
109,1250,XPO7
110,1261,PITPNB
111,1267,SBNO1
112,1293,RPS3
113,1312,CFDP1
114,1325,MAN1C1
115,1329,CSTB
116,1345,PPBP
117,1346,ANPEP
118,1349,TNFAIP2
119,1354,TRMT2B
120,1369,RHOT2
121,1376,PTP4A2
122,1378,HOOK3
123,1381,NUBP2
124,1387,EXOC6B
125,1399,ARHGAP4
126,1405,GPCPD1
127,1406,SEPT6
128,1413,RBBP4
129,1432,IGKV4-1
130,1443,TMEM175
131,1446,NFATC4
132,1476,MADD
133,1478,STX3
134,1492,MCM7
135,1505,SMIM4
136,1512,ITGB3BP
137,1516,PAWR
138,1527,MOB1B
139,1530,DBNL
140,1545,IRF8
141,1547,GMPR2
142,1550,PAFAH2
143,1569,HLA-DQB1
144,1597,MSRB1
145,1605,PPP1CA
146,1620,TIAL1
147,1623,CD164
148,1727,TK1
149,1731,AKAP9
150,1734,PA2G4
151,1742,PTPDC1
152,1757,C7orf50
153,1799,MAGED2
154,1814,PPP2CB
155,1824,SPIRE2
156,1827,DUSP3
157,1836,IRAK3
158,1841,MRGBP
159,1843,DDX52
160,1849,BFAR
161,1854,GSN
162,1861,XIST
163,1865,KCNJ6
164,1872,MAEA
165,1876,RAB27B
166,1885,GPD2
167,1902,NDUFA11
168,1910,SYVN1
169,1917,PRLR
170,1924,DIAPH3
171,1934,TPM2
172,1937,ZMPSTE24
173,1950,SUCLA2
174,1957,METTL9
175,1961,SPOCK2
176,2038,RBM5
177,2041,KIAA2026
178,2064,RALY
179,2081,DGKD
180,2086,ARFGAP2
181,2091,TNIP1
182,2108,ZNF281
183,2126,ITGB3
184,2160,JAK2
185,2162,POLE3
186,2184,RNF157
187,2186,IGHV1-46
188,2195,SLC30A7
189,2217,GMPS
190,2218,GOLGA4
191,2247,SFPQ
192,2269,INPP5D
193,2286,DDX24
194,2292,CNP
195,2299,BAG1
196,2300,TAF1C
197,2303,SLC5A3
198,2319,QRICH1
199,2331,NR1H2
200,2335,SERPINA1
201,2370,COPS7A
202,2371,PARP4
203,2392,PLA2G15
204,2397,PYGL
205,2400,ARMC10
206,2405,SRCAP
207,2428,ARID4A
208,2431,CIRBP
209,2471,UBL3
210,2475,CRKL
211,2523,CX3CR1
212,2524,TP53INP1
213,2541,GPRIN2
214,2561,AP2A2
215,2571,MLKL
216,2573,TECR
217,2582,SORT1
218,2601,ATM
219,2615,UBE2Z
220,2641,DCUN1D2
221,2644,JMJD4
222,2645,DST
223,2665,ENTPD1
224,2674,FXYD5
225,2680,TECPR1
226,2691,PARP8
227,2713,PALB2
228,2731,HMGN2
229,2739,IGSF9
230,2743,RNASE1
231,2755,CREBZF
232,2773,PARP9
233,2778,NPTXR
234,2779,H6PD
235,2781,PLBD1
236,2782,RPS4Y1
237,2791,HM13
238,2792,UFC1
239,2807,ATAD5
240,2813,ESYT2
241,2817,ECI1
242,2857,RHOA
243,2860,FGR
244,2897,TRAC
245,2940,FOXO3
246,2952,TTLL3
247,2990,RNASEH2A
248,3009,HCFC1
249,3023,PF4
250,3034,PIK3R1
251,3040,ABCA13
252,3044,SEMA4A
253,3064,OTUD3
254,3086,DPYSL3
255,3088,SLC2A9
256,3152,STAP2
257,3169,MXRA7
258,3170,KIF16B
259,3171,MAN2A2
260,3175,CDC42EP3
261,3186,AC012462.2
262,3202,NEK6
263,3206,NOM1
264,3208,VAC14
265,3210,OTOA
266,3217,ESYT3
267,3247,NPR1
268,3249,ZC3H6
269,3259,GTPBP1
270,3266,ATRN
271,3272,GNAI3
272,3273,UPP1
273,3283,TTC12
274,3284,SH3BGRL2
275,3285,UNC119
276,3288,ZFHX3
277,3317,MAF
278,3318,FAM122B
279,3319,CSRP1
280,3320,ANXA7
281,3325,PAPSS1
282,3338,TUBA1B
283,3341,KIAA2013
284,3344,DLG3
285,3346,HNRNPA3
286,3352,RPL5
287,3354,TSHZ2
288,3365,ARL6IP5
289,3376,KIF1C
290,3384,NEFM
291,3385,LAYN
292,3392,PPP4C
293,3415,GOLGA8N
294,3419,RUNX1T1
295,3422,LMO2
296,3427,FKBP8
297,3433,EP400
298,3448,TRIM22
299,3454,NDUFA1
300,3462,DERL1
301,3482,SLC25A37
302,3496,PPP2R2B
303,3502,KLHL15
304,3506,LMAN2L
305,3524,OPCML
306,3533,VPS53
307,3565,AP2M1
308,3594,PCDHB14
309,3600,SLC2A3
310,3626,TLE4
311,3630,ABHD2
312,3641,IRF4
313,3644,IGHJ3
314,3655,GFPT1
315,3678,GCA
316,3689,CCDC174
317,3694,CLPTM1
318,3699,AC068831.6
319,3701,RCCD1
320,3731,LINC00954
321,3733,ELL
322,3741,AC000099.1
323,3756,MCM4
324,3779,MRPS18A
325,3782,SETD5
326,3784,GPATCH2L
327,3786,YPEL4
328,3803,KLF7
329,3812,BLVRA
330,3817,OTUD6B
331,3850,HERC4
332,3852,CLN8
333,3853,DCTPP1
334,3870,CBWD1
335,3873,KRIT1
336,3874,RNF4
337,3877,EOMES
338,3884,CD28
339,3889,MED28
340,3894,R3HDM2
341,3896,KARS
342,3897,PTPN1
343,3917,DDX60
344,3921,CCDC47
345,3927,CIPC
346,3955,IFI44
347,3957,HTR3B
348,3960,RNFT2
349,3966,SART3
350,3972,WDR66
351,3975,RRP7A
352,3978,TRAF1
353,3992,FUT1
354,3995,AC092535.3
355,4012,CAPRIN2
356,4013,NUP85
357,4014,MCCC2
358,4016,EMC1
359,4038,QPCT
360,4052,ZNF623
361,4069,WDR46
362,4074,TBC1D22B
363,4075,KIAA1024
364,4087,BIRC2
365,4110,LEPROTL1
366,4123,SLC44A1
367,4126,PMS2
368,4140,PRR5L
369,4167,SLC11A1
370,4171,ATP6V0E1
371,4172,NMD3
372,4181,TUT1
373,4188,MAP2K7
374,4202,GABARAPL1
375,4213,RAP1A
376,4230,SRSF4
377,4234,PCCA
378,4237,MPDU1
379,4245,NEGR1
380,4269,SLC35C2
381,4276,ACADSB
382,4285,TRPV6
383,4286,NLRP12
384,4293,LINC00200
385,4306,ZDHHC14
386,4307,ZNF677
387,4316,USF1
388,4320,RARS
389,4328,MTCH1
390,4336,ARNTL
391,4357,SIAH3
392,4372,SUSD2
393,4376,NREP
394,4381,CTBP1
395,4391,UNC93B1
396,4395,RBMS1
397,4414,NLRC4
398,4427,BEX4
399,4428,QSER1
400,4429,SUPT5H
401,4446,SLC15A3
402,4450,AAAS
403,4454,SLC16A6
404,4468,HLA-DQA1
405,4476,MX2
406,4479,ZSWIM7
407,4482,C7
408,4487,PADI4
409,4499,ARHGAP21
410,4501,KCNE3
411,4509,UBASH3B
412,4517,THOC2
413,4525,RHOBTB1
414,4533,TGFB1I1
415,4534,AP001189.4
416,4537,KCNJ2
417,4550,GTPBP2
418,4572,TRIM65
419,4594,CLCNKA
420,4595,RPS6KB2
421,4605,MAP3K1
422,4608,FTO
423,4612,STRN3
424,4616,SEC24A
425,4623,FBXO33
426,4648,RALGAPA2
427,4668,RNF149
428,4682,C5orf30
429,4708,TMEM8B
430,4710,FAM69A
431,4715,UBE4B
432,4724,YTHDF2
433,4725,PHC3
434,4735,EGLN2
435,4747,C7orf31
436,4766,PRCP
437,4769,NBN
438,4771,SLU7
439,4779,RNF41
440,4798,FRMPD3
441,4804,PLEKHH1
442,4810,VPS29
443,4822,HAT1
444,4828,ARHGAP10
445,4846,RPA3
446,4872,PEX11G
447,4878,COLCA1
448,4912,VPS37B
449,4916,NKIRAS1
450,4917,ZCCHC24
451,4918,NFKBIB
452,4928,TRBV5-1
453,4943,MRPL49
454,4948,NIPAL3
455,4956,FAM210A
456,4968,TRAPPC10
457,4974,DCTD
458,4985,NLE1
459,4987,SCPEP1
460,4989,IGKV3-20
461,4994,ETFA
462,5001,UBN1
463,5004,CCDC149
464,5019,CRTAM
465,5036,TMX3
466,5053,METAP1
467,5077,CDYL2
468,5080,SMARCD3
469,5083,SEPT7
470,5085,PNPT1
471,5089,ASPH
472,5096,ACSL1
473,5125,FKBP5
474,5126,KMT2C
475,5127,APPL1
476,5130,SF3B3
477,5132,SYNRG
478,5156,EMC9
479,5173,MXD4
480,5180,SENP1
481,5193,POLR2L
482,5197,UXT
483,5205,RIOK3
484,5207,TMEM9B
485,5211,KDELR2
486,5215,POLR1B
487,5219,BHLHE40
488,5220,TSPYL1
489,5223,WDR25
490,5224,RAB3D
491,5233,MIDN
492,5250,GALNT11
493,5251,SH3GLB2
494,5256,ADI1
495,5267,TMED5
496,5269,SUGP2
497,5271,GGH
498,5282,FBXO4
499,5285,HBP1
500,5299,PDS5B
501,5304,CYSLTR1
502,5306,APLF
503,5309,CUL4B
504,5327,ATF5
505,5328,MTF2
506,5335,RNASE9
507,5355,ZDHHC16
508,5370,STAM2
509,5375,TBKBP1
510,5376,RPL22L1
511,5387,NISCH
512,5395,C17orf107
513,5396,FCHSD1
514,5399,ATG9A
515,5403,VPS13A
516,5406,ADSS
517,5413,PRKCSH
518,5419,TAOK1
519,5440,C20orf197
520,5443,BYSL
521,5469,SLC44A2
522,5470,COQ9
523,5493,ME3
524,5511,TRAV20
525,5515,CTCF
526,5516,SUPV3L1
527,5531,CDK1
528,5550,LINC00265
529,5560,MOB2
530,5596,OTUB1
531,5603,DNAH10
532,5624,SMURF1
533,5642,TGFB2
534,5663,B3GNTL1
535,5666,CSNK2A1
536,5676,NUTM2E
537,5679,TMEM165
538,5682,STAMBPL1
539,5687,YKT6
540,5689,TCAIM
541,5700,NSA2
542,5707,TBC1D23
543,5722,CBX7
544,5738,DENND4B
545,5739,RAB24
546,5746,FOXN2
547,5757,WDR59
548,5772,KIAA0586
549,5775,EVI5
550,5808,DHX35
551,5814,OR9Q1
552,5832,SSU72
553,5837,MCCC1
554,5857,SLC6A1
555,5867,AXDND1
556,5886,IER3IP1
557,5889,VAMP2
558,5897,PRMT8
559,5898,BTN1A1
560,5904,DOCK5
561,5930,RANBP3
562,5933,NT5C2
563,5937,KATNAL1
564,5952,ZC3H7A
565,5961,DCBLD1
566,5966,TRIM58
567,5990,HTATIP2
568,5998,MIR137HG
569,6002,DDX55
570,6016,DDX28
571,6033,ELMOD2
572,6035,WDR45
573,6038,JARID2
574,6066,TRBV7-3
575,6069,DUS3L
576,6087,DCAF8
577,6091,C17orf80
578,6092,FUK
579,6114,TIFA
580,6138,HMGXB4
581,6150,SMURF2
582,6168,MAD2L1
583,6212,SNX15
584,6214,CYP1B1
585,6240,ARSA
586,6244,MBP
587,6247,ADAM15
588,6252,DMBT1
589,6253,UBIAD1
590,6262,PINX1
591,6265,WDR91
592,6268,DNAJC16
593,6289,DCAF4
594,6292,NFATC2
595,6343,CLEC16A
596,6347,CENPL
597,6363,NRBP1
598,6374,HEMK1
599,6391,PEX11B
600,6415,NF1
601,6416,LARP4
602,6420,LPAR2
603,6422,HTN1
604,6429,DCUN1D1
605,6433,COA6
606,6439,FPR1
607,6441,RPS19BP1
608,6458,UBA6
609,6509,KRT82
610,6512,TGFBR1
611,6517,GOLGA8A
612,6523,TTC1
613,6524,PTPN11
614,6528,ARHGAP19
615,6537,FAHD2B
616,6538,RUNX1
617,6540,CHAF1A
618,6546,MAP3K14
619,6565,APH1A
620,6574,UPF3A
621,6585,PSG11
622,6600,SNCA
623,6616,TFPI
624,6628,DNAJB12
625,6637,TRBV11-2
626,6650,SNUPN
627,6651,DENND4C
