,Genename,Counts,Sample
0,B9D2,145.24805,Severe 8
1,JAG2,167.84293,Severe 8
2,DNASE1,501.46332,Severe 8
3,TRMU,654.6314,Severe 8
4,RRP9,213.00479,Severe 8
5,CNOT2,1455.2144,Severe 8
6,SMO,35.46099,Severe 8
7,RC3H2,1017.4597,Severe 8
8,CLINT1,1915.7234,Severe 8
9,CD52,6447.7007,Severe 8
10,CLSPN,389.4945,Severe 8
11,MEGF9,4850.2764,Severe 8
12,UBA7,1479.7792,Severe 8
13,TRBC2,7646.2476,Severe 8
14,CNOT4,535.64636,Severe 8
15,TCP1,1691.6836,Severe 8
16,INSIG2,259.5849,Severe 8
17,SEC61A1,1866.9495,Severe 8
18,MED13,3564.8032,Severe 8
19,PLEKHS1,89.844696,Severe 8
20,NUFIP2,2834.0417,Severe 8
21,TSPAN18,362.98245,Severe 8
22,XPC,888.7756,Severe 8
23,EIF3K,3807.6313,Severe 8
24,PIKFYVE,2382.5085,Severe 8
25,LEF1,1084.1707,Severe 8
26,ATG12,1264.5437,Severe 8
27,PPL,68.22777,Severe 8
28,CCDC50,902.3562,Severe 8
29,HLA-E,68220.03,Severe 8
30,MTMR14,1108.4287,Severe 8
31,AKT2,1397.2065,Severe 8
32,ZNF708,458.1967,Severe 8
33,RPS9,9492.809,Severe 8
34,ACACA,623.29266,Severe 8
35,IGHG1,4659.984,Severe 8
36,PPT1,4827.221,Severe 8
37,DEF6,1576.9612,Severe 8
38,PSME4,1915.1975,Severe 8
39,ZFR,1706.0988,Severe 8
40,HBS1L,1268.83,Severe 8
41,FCN1,19359.902,Severe 8
42,ARHGEF1,4332.8745,Severe 8
43,HIST1H4C,2092.3303,Severe 8
44,KSR1,456.27423,Severe 8
45,RPS14,30594.912,Severe 8
46,IGHM,11415.22,Severe 8
47,KCNAB2,2668.4219,Severe 8
48,PFDN5,8874.458,Severe 8
49,IGLC2,4907.9805,Severe 8
50,HLA-B,169322.12,Severe 8
51,LPIN3,195.68169,Severe 8
52,MT-CYB,21456.416,Severe 8
53,KIF3B,989.25507,Severe 8
54,SHOC2,2294.6213,Severe 8
55,RPL11,21651.875,Severe 8
56,NMT2,495.0442,Severe 8
57,ZNF26,402.8938,Severe 8
58,MT-CO3,25970.113,Severe 8
59,CSF2RB,1007.89136,Severe 8
60,TMSB4X,36023.88,Severe 8
61,VCAN,34548.54,Severe 8
62,S100A8,116533.945,Severe 8
63,NEU1,1044.617,Severe 8
64,B4GALT1,3120.1016,Severe 8
65,HIPK2,3012.3875,Severe 8
66,PANK2,1252.5334,Severe 8
67,ABCD1,172.12639,Severe 8
68,PMPCB,986.1107,Severe 8
69,ACTG1,14174.003,Severe 8
70,ARFGEF1,2343.3384,Severe 8
71,BBX,3430.5225,Severe 8
72,MRPL44,465.3057,Severe 8
73,CD8A,5512.515,Severe 8
74,MRPL10,1020.8205,Severe 8
75,ZNF439,221.28194,Severe 8
76,NIN,6641.3623,Severe 8
77,FMNL3,587.3995,Severe 8
78,WAC,6065.1953,Severe 8
79,CTDSP2,2167.9412,Severe 8
80,ATRX,4554.6216,Severe 8
81,CCL22,183.05391,Severe 8
82,FGFR1OP,708.0553,Severe 8
83,CMTM6,3499.9329,Severe 8
84,ZNF664,1072.2009,Severe 8
85,SPG21,1373.1903,Severe 8
86,PNRC2,2450.3958,Severe 8
87,PPP2CA,2408.2476,Severe 8
88,EIF4A3,1093.0061,Severe 8
89,KCTD12,3699.261,Severe 8
90,IGLV6-57,329.4357,Severe 8
91,ATP2A3,1841.7535,Severe 8
92,AGO2,508.94122,Severe 8
93,GK5,597.29846,Severe 8
94,ALAD,797.3853,Severe 8
95,SATB1,2972.0088,Severe 8
96,RPS17,1101.6478,Severe 8
97,RPL22,5736.8228,Severe 8
98,SRSF6,3003.9963,Severe 8
99,IQGAP2,6458.692,Severe 8
100,TEP1,1293.0247,Severe 8
101,CFLAR,8400.645,Severe 8
102,DDX18,2132.3223,Severe 8
103,TRAK1,1675.5616,Severe 8
104,AHNAK2,351.87952,Severe 8
105,GLIPR2,3737.9915,Severe 8
106,MT-CO2,34765.625,Severe 8
107,TFAP2B,114.318474,Severe 8
108,APLP2,19716.033,Severe 8
109,SLC35G3,86.789604,Severe 8
110,ADAR,17134.082,Severe 8
111,HLA-A,67661.39,Severe 8
112,SRL,203.13629,Severe 8
113,SEC63,2162.7288,Severe 8
