"","Gene.name","logFC","logCPM","PValue"
"1","JAG2",-1.54317594506292,0.131182017226375,0.00637632952571372
"2","FCN1",1.06484493029751,8.32766445600752,0.00327410942438092
"3","IGLC2",1.45177587751468,4.40839850146267,3.79591597659383e-07
"4","CSF2RB",3.01206133821538,5.13383694185893,2.45031341907823e-10
"5","VCAN",1.5703335827817,8.40483889559053,8.94563830537257e-05
"6","S100A8",4.68630941059221,13.2048415722825,3.31111875206316e-17
"7","HIPK2",-1.09498168059485,6.24062198992245,0.00306709835586541
"8","FMNL3",-1.46345795489188,4.39641674144342,2.22952259430868e-05
"9","CCL22",-4.12473090011529,1.68179868908559,0.00232976349679229
"10","IGLV6-57",2.22843294049389,3.06009742158429,0.00283888091185808
"11","GLIPR2",1.00284788066407,6.79873443379307,5.20253572410581e-07
"12","SLC35G3",-3.34079301567092,-1.30001120195084,0.00536494872524784
"13","MTRNR2L8",-4.32532662839937,10.5913999465871,0.00248646927841263
"14","ISG15",3.94099647657319,8.28663823623847,7.19638307220654e-18
"15","SERF2",1.15522685967286,10.257733384325,0.000730383737441303
"16","IGLV2-23",2.64402931713139,4.53378263637308,7.74839997662382e-05
"17","TYMP",1.88373895626637,7.86423462032534,1.70526678264838e-08
"18","GRM2",-2.19221131309646,-0.213099132290545,0.000222618774465574
"19","KCNK10",-4.19016036683785,-1.57667335077596,0.00376713839777347
"20","S100A9",2.98474667623146,11.5084500950227,4.55497567521451e-12
"21","MX1",3.17632941514705,7.44304831446748,4.58605055573449e-18
"22","ZYX",1.33919448309134,8.12136600141569,0.000802445453456931
"23","IGHG4",2.96913943439731,2.51589993951887,7.51039952035715e-05
"24","IL1RL1",-2.52837303626811,-0.903847896146511,0.00953345783024744
"25","IGHV5-51",2.14482642204187,4.85838362294718,0.00158216405681947
"26","IGHV3-23",2.21268950653523,5.18444998049968,1.25717175174733e-05
"27","TMEM154",1.995499628633,6.39377716597065,1.90433793522702e-13
"28","HIST1H2BK",2.1169096433519,5.1700216197538,1.15204616766622e-14
"29","CIR1",1.29648819280913,6.94588674550884,4.65574476333571e-06
"30","TMEM181",-1.05290814784555,4.98984952373563,0.000920270572655323
"31","IFI44L",4.79139999469685,6.70437299042904,1.62554196203878e-20
"32","PKM",1.01805139992399,8.56434641357304,8.30791834510875e-06
"33","IGHV1-24",2.41367733270529,2.81149108172347,0.000153765411706689
"34","RAB31",1.81279164011536,6.58514474696911,1.40419826540405e-09
"35","CSTA",1.20274429573294,6.50417270809454,0.00876558424358108
"36","IFITM2",3.75952615804156,11.4160081858933,1.28949396270754e-13
"37","STAT1",1.01350511246811,7.33069105411163,0.000348335102569942
"38","ACTB",1.16284613648306,12.659780995176,0.0074067214539107
"39","FAM198B",1.93280147410989,3.74203868168616,8.29236439984658e-06
"40","XAF1",1.82435103565802,7.52992135612951,6.28550914123452e-06
"41","FCGR2A",2.49930091276517,6.11254320209919,6.27567139464904e-10
"42","AXIN1",-1.10522169954156,5.10369660999488,0.000205972449259971
"43","CHD3",-1.28061285569961,7.47857008605984,0.000836826163463783
"44","OAS3",2.43175088123458,5.41039840411319,3.63705985102092e-08
"45","CAPZA2",1.15806624236747,6.86938558252686,5.26014036166969e-06
"46","MT-ATP8",2.33774489523416,10.1575783758587,4.11743472653842e-06
"47","USP7",-1.25969244407319,6.42442365959027,0.00450093812445446
"48","LAMP2",1.05367014482984,5.68949364478249,1.19830892580619e-05
"49","SHISA5",1.03560903379698,7.52621118555237,1.41870681912998e-07
"50","LST1",2.10775033221702,8.39869460796893,4.96729097033739e-08
"51","FCGR1A",2.83955240594579,4.42091430901809,8.1053632771159e-11
"52","NCF2",1.52890237659488,6.96819527657651,2.32669598534729e-06
"53","CST3",1.40542206808902,9.46112797384426,0.00233890604302621
"54","IFI27",8.85443289199434,7.45892961095881,3.20412896712518e-38
"55","IFITM3",4.46336443913486,10.750415106085,8.07271522640204e-17
"56","HCK",1.79073834198131,6.51075293843379,3.39567508830174e-07
"57","H3F3B",1.06985241542801,10.9561021462957,0.00149715618092852
"58","OAZ1",1.29261829463353,10.3806098007805,1.24869466574539e-06
"59","HPSE",1.6560845856237,4.00277265912562,1.35554735591518e-08
"60","MYL12A",1.39507839238736,10.0751768625879,6.02843936140955e-05
"61","OAS1",3.22848935467583,6.48949001749969,4.62855642487412e-15
"62","EIF3C",-2.60651258191728,6.18938735652306,0.000718112040962743
"63","SMCO4",1.19815547993416,4.29495787327252,7.72597214635592e-05
"64","IFIT3",5.15746621432775,7.65358084923365,2.94793617241709e-18
"65","ATP6V0B",1.14506976084875,7.75006898000523,0.000195961665229417
"66","IGLV1-47",2.48875086287893,4.1396922468156,0.000327310838613346
"67","SELL",1.24304789758462,8.920221447647,3.73202473894763e-11
"68","CD14",1.75696217660406,7.27604645734954,1.68827307226307e-07
"69","SOD2",1.89855019912049,8.40763929016022,1.08696608231793e-05
"70","FCGR3B",3.2670056815012,7.78956610286902,1.28618831079502e-05
"71","CLEC12A",1.98009307478112,5.66345680091862,4.15268589047755e-07
"72","PDZD2",-2.20592405087861,0.791731046186951,0.0103162066081181
"73","SOBP",1.25570212089384,0.55688687815892,0.00932318010703738
"74","HDAC9",1.03262057161392,4.11395741622573,0.00101611943898024
"75","RNASE2",3.58576030756194,4.09163824017842,1.06295794282079e-18
"76","SYNE2",-1.64157721731842,8.88074181167289,0.00158040773274794
"77","EML6",-1.72796003203904,1.68057206551313,0.00188052466282521
"78","CAPG",1.50023105248099,6.25032052745869,3.72339451001763e-07
"79","CASP1",1.27970892944161,6.80848248063836,1.52569754378347e-06
"80","MYBL1",-1.7587498533114,5.90425267552562,0.000826869705145717
"81","MT-ND6",-1.22641914538895,9.16362219120751,6.12191359758851e-05
"82","RTN3",1.13527359922742,6.54057282108725,1.45659091877105e-09
