"","Gene.name","logFC","logCPM","PValue"
"1","MEGF9",1.63860570104358,6.589375879938,2.96864797748797e-06
"2","IGHG1",3.0458766200835,5.78837417844935,1.19250095573291e-08
"3","IGHM",1.79448044930068,7.90911417204104,8.01804757485022e-08
"4","IGLC2",2.71403233620196,5.46350393418669,2.46741138138161e-19
"5","CSF2RB",2.52154845674219,4.99952983074979,7.13243573568802e-10
"6","VCAN",1.82784371106298,8.76154653547432,5.57831421168475e-06
"7","S100A8",5.13527134883278,13.9196351667279,1.00765981164709e-17
"8","KCTD12",1.32861490663092,5.69439122446916,0.000133028792291566
"9","GK5",-1.03415052629554,5.06101855697841,4.96268160475483e-08
"10","GLIPR2",1.07694140918087,7.00795287050258,1.79219419128902e-08
"11","APLP2",1.19733115042502,8.1052134409725,5.27360332951808e-07
"12","TKT",1.13215838318353,8.54439094412284,1.38247262550269e-05
"13","CORO1C",1.3527958200283,5.61638376919566,2.97460129545727e-10
"14","ISG15",1.90186125267334,6.95328880948983,2.54474262978728e-09
"15","SERF2",1.10729428795097,10.416680081723,0.0054237572172193
"16","IGLV2-23",2.21767970865749,4.46829181428697,0.000823853152719163
"17","RGL1",1.36614547418833,1.91428494683454,6.35590940110029e-05
"18","TYMP",1.3462881633778,7.74913655608261,2.72985064499576e-06
"19","S100A9",3.21338903751553,11.950506116064,1.3794493316655e-14
"20","MX1",2.08316421283808,6.86853972231919,1.40968097826847e-11
"21","ZYX",1.32768636346023,8.30865905429785,0.00363731169062526
"22","IGHG4",5.05692558754197,4.60144383434971,1.12852265994703e-13
"23","IGHV3-23",1.50021628864856,4.95141684635681,0.0015740817733878
"24","UBE2J1",1.18179753109519,7.15122508368159,2.10699640789376e-09
"25","TMEM154",1.54360978926007,6.31928865795804,2.91129310204931e-07
"26","HIST1H2BK",2.53430012361384,5.69497350578804,2.47555765188108e-14
"27","KIAA0319",2.09995436611866,0.169590947576697,0.000424877629973247
"28","IPO11",1.02532511248718,3.66542167563111,5.38437729189747e-05
"29","IFI44L",3.78336875159731,6.07628069384853,3.78457149741036e-14
"30","SNED1",-1.09826951001554,3.02320439157976,0.000346117930745995
"31","IGHA1",2.0933027931654,5.10358192701824,3.89544649436576e-10
"32","IGHV1-24",2.02099482890216,2.77221039759048,0.00287104250375808
"33","RAB31",2.11616902623265,6.99769012073375,1.95470630779558e-15
"34","CSTA",1.66726845610691,6.96376288643565,0.000754967912265372
"35","TLN1",1.05777905659667,9.03256423314381,5.93374977962389e-05
"36","PLXDC2",1.20698627622849,5.69792647319677,8.77708722516668e-08
"37","IFITM2",3.40287923486032,11.3855208612167,1.05837643118391e-09
"38","SYTL3",-1.08618837602303,6.94287664070825,0.00464303853886474
"39","ACTB",1.30248377457567,12.9233191237089,0.00837629797132955
"40","COTL1",1.05973296401254,9.48027489888973,0.00330149012250461
"41","FAM198B",1.68614586081359,3.794320764469,1.42483307846119e-05
"42","XAF1",1.63350469915599,7.61122746430831,3.56525968131287e-05
"43","FCGR2A",2.60726805732063,6.42600462908013,2.7354827587151e-15
"44","OAS3",2.76499443127806,5.89153401209798,3.09007481786959e-09
"45","LAMP2",1.32996816693006,6.01051226899506,3.09498077753539e-11
"46","LST1",1.79377157942986,8.41342640166861,1.26511876158975e-05
"47","FCGR1A",3.17774941319545,4.94522663026102,9.88053678067915e-16
"48","NCF2",1.73773092877442,7.29091483686637,2.02869381978661e-11
"49","IFI27",8.1574059963993,7.06774366220863,5.95746534059852e-39
"50","IFITM3",3.77566538950918,10.4216570778949,4.86282540286634e-14
"51","HCK",1.50689950458765,6.5433156714265,1.36648927816632e-06
"52","CYBB",1.2302382216245,7.56442485826799,0.00032287856913384
"53","OAZ1",1.2785697330742,10.561556519724,6.32709959976031e-05
"54","HPSE",2.1519398490819,4.532107602397,1.59470513250202e-15
"55","CTSZ",1.1058139231829,5.89688449564581,9.18852527042542e-09
"56","RPL3",-1.06397573073718,11.9261683401011,0.000183807059484369
"57","MYL12A",1.08084030210534,10.0968788265019,0.00496786675278504
"58","OAS1",1.68231259488459,5.60960498523817,1.93654708818365e-07
"59","LBH",-1.0369790477181,7.72711089254996,1.54354480731779e-05
"60","IFIT3",3.53279695626669,6.46718712834135,1.57967483051057e-13
"61","ATP6V0B",1.14174057597631,7.93112258901114,0.00106099553487997
"62","IGHG2",3.15313347459093,4.94936955877607,3.01898692016868e-12
"63","IGLV1-47",2.10485131948203,4.10785329310472,0.00178170028533404
"64","SELL",1.08938362193169,9.02116603072983,4.07125297402107e-08
"65","CD14",1.40259734236877,7.26854992890506,7.54129657325929e-06
"66","FAM129A",1.27380787795426,6.97501012805015,1.78520478116214e-05
"67","SOD2",1.75152860685087,8.52607836846766,4.19690384412039e-05
"68","FCGR3B",3.02431659145976,7.83760996209903,5.67334936895052e-06
"69","CLEC12A",1.58093973948024,5.62156742138911,9.73111615677773e-09
"70","CD63",1.43161634407066,7.88180806512152,4.57740285823166e-09
"71","IGLC3",2.71426829150909,7.18505902204656,8.77790518092366e-07
"72","RNASE2",3.68848476587004,4.44948427519273,1.52313043813298e-20
"73","P4HA2",1.56843981563641,0.418060930969901,0.00164627465726139
"74","GNAQ",1.21405295221155,5.71957018847441,1.65142016506934e-06
