,Gene name,Moderate 0,Moderate 1,Moderate 2,Moderate 3,Moderate 4,Moderate 5,Moderate 8,Moderate 11,Moderate 13,Moderate 14,Severe 0,Severe 1,Severe 2,Severe 3,Severe 4,Severe 5,Severe 6,Severe 8,Severe 9,Severe 10,Severe 11,Severe 13
0,B9D2,1019.3294,859.9958,1380.779,237.56096,720.861,575.20404,358.2747,588.87683,893.17865,396.93323,353.3883,873.28577,942.78656,1245.1694,1538.4454,2589.8381,1305.9333,145.24805,365.22614,560.5186,818.44836,295.2624
1,JAG2,20.131609,25.180975,24.38184,12.971783,4.4367685,0.0,3.352075,9.5548,15.052721,79.68131,7.4520016,8.139229,13.075047,6.079997,1.584786,9.521463,129.84673,167.84293,125.01131,210.62157,77.48574,24.086374
2,DNASE1,1403.2667,706.9722,616.1216,245.6759,556.6233,217.4536,221.23863,227.99007,356.58963,986.1101,18.534513,497.9727,846.9187,427.0771,524.6109,1160.9543,1849.7743,501.46332,1044.6078,1569.1106,3163.2163,726.06744
3,TRMU,2211.4185,1537.5243,1604.8889,425.59692,842.78955,348.84283,425.287,297.5073,503.776,819.3652,192.10214,954.03796,1412.5616,491.82553,294.45935,931.4929,1416.5631,654.6314,1055.1837,1369.0093,1816.007,357.59338
4,RRP9,1681.4108,1121.1288,967.92084,392.80276,569.0949,341.8242,325.62628,201.17116,399.81607,266.05276,84.22509,905.8414,1274.152,374.2276,257.37958,424.10638,591.9267,213.00479,303.1314,465.7846,598.30273,100.94418
5,CNOT2,10027.79,6233.44,12224.352,2187.3762,3346.6682,1629.0127,1368.2488,1144.2549,2393.482,3606.0232,1899.2832,4312.9355,6243.704,2308.5452,1397.0211,4043.805,6767.4375,1455.2144,4096.5957,6028.7866,7923.219,2055.2676
6,SMO,0.0,0.0,0.0,0.0,3.5198874,0.0,0.0,0.0,0.0,2.4906602,0.0,0.0,0.0,0.0,0.0,0.0,44.00835,35.46099,40.0933,44.526997,82.93697,34.14832
7,RC3H2,3148.6523,2061.1978,2704.463,905.9722,1440.9062,810.6013,746.7785,747.22845,1031.8636,2421.746,1115.9222,1850.1053,2551.6482,983.47455,911.2067,2930.246,5656.5425,1017.4597,2652.1755,5041.3223,4848.641,1374.5728
8,CLINT1,8668.255,6225.95,7717.885,1702.4543,1914.7532,1081.9952,891.0114,1339.654,1312.7289,4965.721,3540.6157,4499.842,6660.542,2815.5696,2480.6804,4293.8022,9674.345,1915.7234,5171.8975,9330.798,10065.612,3096.046
9,CD52,174212.0,118550.12,61665.684,41399.305,65242.734,37286.72,32775.883,21152.959,24010.35,12580.009,18209.486,72996.34,123473.51,44187.082,26196.443,54611.535,35195.582,6447.7007,13588.982,27888.645,38984.375,10518.18
10,CLSPN,119.35502,118.8356,213.90553,65.00836,74.07139,50.79039,40.72032,58.43499,69.354004,217.49207,30.643852,229.00896,86.14014,40.77191,69.99121,106.69149,473.57166,389.4945,332.0838,665.9715,784.1297,366.63315
11,MEGF9,1021.5631,1564.4464,938.54846,606.6715,1850.0076,1622.9888,1408.2584,3586.663,2016.9165,13771.751,1802.9131,2662.4062,2918.1396,6166.2637,8542.126,15057.104,19188.092,4850.2764,9924.885,20268.213,11280.435,5175.0645
12,UBA7,3894.6304,3652.0786,2007.0386,1872.0168,2529.5781,1475.3759,1642.3392,812.53766,2655.569,2187.2285,1045.9965,2650.9739,4137.526,1819.7688,1328.4253,3993.8745,5902.881,1479.7792,3165.3914,4930.938,5184.316,1310.4911
13,TRBC2,37743.895,15045.654,25771.99,7431.145,18353.941,6321.28,6117.312,4666.3906,8453.819,18288.354,2344.311,18147.537,26771.855,10718.641,7932.459,10884.672,37465.16,7646.2476,17724.76,24948.342,77465.69,14197.567
14,CNOT4,6884.817,3807.3777,6055.071,1104.9114,2702.2395,1023.8286,1401.5442,1094.5856,1641.1755,1295.5583,972.3344,2871.607,3899.4683,1901.3372,1560.7769,3531.6968,3821.9312,535.64636,1932.9468,2560.2026,3388.5889,741.3319
15,TCP1,7689.2803,5282.1733,6478.015,1748.1154,3403.5637,1540.8259,1340.7639,1225.0276,1741.8359,3570.6672,2657.2834,3997.9102,5336.4546,2260.8142,1880.1218,3316.4949,6387.2573,1691.6836,3818.2341,7763.731,8940.744,3009.605
16,INSIG2,2199.59,1314.888,2225.284,446.69485,715.7099,453.75104,369.0866,501.5386,574.8576,1099.3265,622.02655,871.19305,1377.9597,738.7732,664.16956,1002.15497,1384.4867,259.5849,533.24255,1381.0977,1673.8724,447.87573
17,SEC61A1,5562.811,3977.4744,5173.895,1670.9855,2443.4353,1152.7451,1001.0551,1074.2743,1977.5502,4113.115,1243.922,3447.188,4578.429,1587.942,1239.7356,2412.917,5680.714,1866.9495,4161.429,7509.5137,6561.908,2864.2449
18,MED13,1942.9093,1308.8251,2851.2664,707.8482,887.144,660.513,621.2826,894.7421,901.2545,6705.65,689.37054,1224.813,1718.4961,1074.9587,957.4238,4149.5596,11716.648,3564.8032,7034.9297,11395.219,13046.475,3565.5679
19,PLEKHS1,3.9292731,0.0,0.0,0.0,0.51663566,0.0,1.1893435,0.0,0.0,33.16398,0.0,0.0,0.0,0.0,0.0,0.0,37.61994,89.844696,218.67632,76.91927,81.33976,5.102579
20,NUFIP2,3979.403,2732.4014,3280.9746,845.4234,1050.4052,1106.7922,830.4178,1379.4402,1117.4467,6690.63,1420.8384,1904.5344,3002.1753,1556.6041,1299.9358,5154.9185,11407.557,2834.0417,6203.8257,10586.988,15372.611,3385.5674
21,TSPAN18,453.3637,339.62845,299.9887,308.15167,677.7631,416.20392,165.65263,241.97687,595.3409,443.16595,289.58078,494.75702,1378.1525,457.47018,132.44235,1418.4789,1746.2838,362.98245,430.95312,970.6655,2167.5935,313.01248
22,XPC,4946.61,3272.1548,5092.8477,900.0099,1726.4502,993.72815,984.7563,1488.1102,1207.27,2788.1558,442.1957,2366.8035,4091.8694,1545.2633,1454.2935,3000.954,5418.7544,888.7756,1875.1033,3751.489,6557.3286,1466.9852
23,EIF3K,80886.5,59631.52,70321.63,13851.908,16739.229,11206.871,10175.473,9151.903,9384.76,6987.07,27860.52,46208.383,68726.07,21498.197,14034.485,18575.08,15000.138,3807.6313,7553.1973,15040.185,15276.731,4537.1313
24,PIKFYVE,4020.5908,2618.8088,3002.1145,757.13214,1292.6593,908.55444,522.2619,917.6078,707.9902,4634.517,1418.6187,1853.8406,2108.609,1132.8585,949.2919,2801.3645,8281.368,2382.5085,4689.695,7346.7793,7938.514,2122.1672
25,LEF1,36483.76,18017.389,17058.625,2053.0022,7749.3843,3013.873,2807.4448,1255.9651,4252.665,2929.5967,1052.7753,10085.212,15220.551,5098.786,3217.138,4576.6357,9164.625,1084.1707,2315.6006,4383.173,22031.766,3415.276
26,ATG12,7434.8115,5294.241,6869.3267,2186.8547,3166.5498,1965.3772,2108.2878,1281.7642,2077.3806,2591.483,2769.118,4472.634,5505.6914,2339.8645,2088.6558,5665.87,5652.4966,1264.5437,2774.7124,4122.3457,4902.694,1302.1108
27,PPL,5.186242,0.0,8.6726055,1.7930788,1.9512196,0.0,19.331394,0.0,21.413277,44.883396,0.0,0.0,4.4141703,0.0,5.5327845,25.915943,205.99164,68.22777,180.11557,343.8281,72.36374,66.61551
28,CCDC50,3537.0347,2576.1055,1750.7422,546.8779,966.0485,345.44327,510.80478,247.9896,372.61218,1634.1722,894.7187,1405.917,1690.1215,671.36865,607.8388,1068.2103,4564.546,902.3562,2620.9539,4117.0645,3291.074,1173.2845
29,HLA-E,217937.92,139857.58,172447.02,71755.734,154009.6,69840.72,67339.28,53344.062,133308.34,114178.38,53973.727,124568.74,206531.4,100519.85,84302.805,255648.0,271442.62,68220.03,160956.27,231861.77,226946.88,53271.02
30,MTMR14,6847.3374,5373.8965,7209.316,1590.0201,2262.7249,1623.63,1788.6521,1530.439,1643.6241,2323.7808,2652.492,4168.742,6504.9277,2480.2273,2052.3428,5082.1304,4055.2449,1108.4287,2297.1394,3965.5442,2732.061,983.1034
31,AKT2,6369.891,4031.4626,5914.655,1047.1625,1517.6688,713.3472,864.04126,742.071,1175.3823,2072.7053,1243.4407,2503.6646,3822.7178,1823.5968,1224.5538,1898.3646,4759.737,1397.2065,2879.065,4301.1147,4794.474,1082.8475
32,ZNF708,3010.0493,1728.4205,1782.8495,482.08984,976.7893,350.45767,486.37692,383.55548,639.3261,906.8007,403.77145,958.3537,1536.2377,539.0235,335.9809,1972.8761,1827.4233,458.1967,942.782,1202.4781,2312.0754,419.07217
33,RPS9,424773.75,258178.19,320902.44,66193.445,65251.75,55039.27,58187.33,53180.598,42086.477,21761.902,89809.04,159601.78,207515.83,85192.03,69222.05,104765.17,62276.902,9492.809,21321.55,61693.754,59696.125,14977.64
34,ACACA,1377.8566,1075.8192,783.2844,243.48073,425.95,218.78947,203.7761,134.31735,224.49036,918.04285,305.1253,852.6253,924.319,399.94452,259.28464,566.8017,1246.0486,623.29266,989.68524,1731.7292,1571.723,499.95053
35,IGHG1,556.75604,729.5753,318.0801,331.05533,167.49144,72.63725,138.8309,194.6017,252.12802,6284.271,128.21744,1987.578,621.0342,439.6091,708.92664,747.6027,8404.258,4659.984,6351.427,8155.794,11848.319,23820.14
36,PPT1,5752.392,3776.815,6172.557,2004.9917,3923.0525,2532.4058,1906.6195,4772.197,1649.9482,10385.98,1617.8727,4429.0635,5985.913,4421.2085,5115.6934,5980.303,10037.6,4827.221,8452.279,17440.205,7520.764,3181.9382
37,DEF6,15199.415,8888.027,9574.969,3113.0996,4943.6543,2889.2812,2633.1436,2842.579,3025.7388,4487.5,1452.3035,7172.3574,9643.894,3705.9868,2497.0383,7915.3823,8512.499,1576.9612,4367.662,6550.3413,7461.775,1948.1575
38,PSME4,2024.5559,1319.4076,3672.0186,629.8249,714.1548,406.37582,396.02872,386.10873,393.09528,3701.023,912.7695,1196.8083,1337.7747,632.668,676.27734,1441.437,6714.895,1915.1975,4372.01,6817.6514,7209.074,1656.758
39,ZFR,8057.2505,5473.392,5845.4683,967.136,1655.5509,669.8384,876.3326,837.6653,1136.9264,4539.436,1894.4177,3900.8704,5809.352,2618.2202,1900.9958,2818.8586,8044.853,1706.0988,4915.234,8017.808,10933.139,2859.0576
40,HBS1L,4321.691,3009.0063,3219.6455,700.76117,1384.7306,576.7768,408.41553,483.1764,932.0836,1753.4868,884.74854,2149.034,2345.8093,1028.0308,922.59985,1954.5151,3423.1472,1268.83,2288.3406,3284.6274,3589.0002,935.67426
41,FCN1,5592.72,13284.167,22390.668,8284.859,16376.652,17791.535,15860.337,15125.327,7795.685,47741.19,14722.041,20884.637,23693.893,4400.946,4283.727,24905.754,37217.67,19359.902,37585.215,101253.22,18521.418,16745.988
42,ARHGEF1,37939.117,27484.764,20571.803,7006.815,7610.7524,5619.097,4437.156,4321.741,6542.8174,8339.982,3972.8096,17562.13,26746.229,10676.218,7853.0903,14518.979,17926.752,4332.8745,10821.313,13363.719,13191.328,2777.1448
43,HIST1H4C,21264.574,17970.973,21921.87,4968.964,8006.629,3890.7559,4061.2058,8060.099,3442.5366,3501.2107,6193.2305,19313.398,24610.0,14506.585,14622.632,13071.766,10286.647,2092.3303,4175.0396,8780.033,13426.345,5255.3174
44,KSR1,278.27142,229.14476,253.4181,121.17344,141.77881,224.55559,167.03271,136.81912,106.51646,907.76074,131.31792,242.38817,385.9172,330.28482,293.3521,436.48077,1051.7194,456.27423,1257.9619,2359.9797,1124.2859,310.204
45,RPS14,516990.25,593406.9,820144.9,123774.164,129915.914,89073.11,83949.09,85993.64,58069.0,60522.41,181636.31,361028.56,679724.94,188363.52,89256.67,142091.1,146742.72,30594.912,62023.39,133438.95,193590.25,42210.504
46,IGHM,28835.342,25904.645,5210.217,3182.609,14137.603,1794.2517,4146.853,848.7577,1336.9657,16563.117,4323.2695,9241.792,19222.299,10047.928,7540.191,6407.7847,52916.73,11415.22,16031.934,17864.787,38470.14,57911.83
47,KCNAB2,6876.7095,4959.0156,5816.876,2283.685,2504.4253,1551.8635,1235.1614,1735.1454,1970.3676,6664.712,3429.2217,5668.899,7448.025,2855.3552,2027.421,4340.313,9659.633,2668.4219,6916.92,9581.788,9279.843,2528.2827
48,PFDN5,157125.98,110160.65,140275.75,31396.71,39196.37,25552.979,23817.5,21764.25,20996.377,18984.418,37907.62,74156.03,125350.68,41978.57,29231.3,41884.367,39678.777,8874.458,19148.768,43243.027,37144.41,11238.879
49,IGLC2,3739.0854,3122.4463,642.84204,667.9054,1554.7094,538.34827,1273.0488,568.9366,420.68573,3851.6628,1827.4601,2721.7822,3144.8623,1382.2563,1231.3,1553.4211,6572.5483,4907.9805,7745.012,4851.321,7961.4736,10345.535
50,HLA-B,534186.9,347065.56,543200.56,217826.77,428470.5,195463.73,193570.52,152303.89,288982.47,275870.2,145509.3,379722.62,428591.1,288968.7,320404.38,589784.56,496228.97,169322.12,400548.88,437508.72,399128.9,107466.66
51,LPIN3,9.270234,1.2886598,0.0,0.0,4.361046,3.1048677,0.0,2.1704574,0.0,44.443478,0.0,11.224559,0.0,0.0,3.9729836,0.0,135.06953,195.68169,93.39607,153.92685,79.272545,60.486156
52,MT-CYB,406105.53,288599.0,357193.22,57327.562,82646.59,98100.78,57166.64,105122.37,72166.336,34151.527,88980.125,254291.52,309263.1,117876.17,90447.58,148923.1,119840.47,21456.416,45268.83,112361.77,98495.56,27651.84
53,KIF3B,1535.5901,1087.4617,932.69403,384.56067,410.7132,229.28471,262.82367,508.2556,293.5735,2513.3345,151.00635,1011.9764,1260.0079,560.9269,401.18073,896.3882,4162.7466,989.25507,3146.803,3520.2932,4263.777,1331.4435
54,SHOC2,5851.268,4792.7207,5730.6045,2187.277,4661.763,2837.3726,3159.1182,4573.2104,4845.9155,4800.6587,4048.3887,5109.7495,5538.3037,5176.631,5981.9673,13179.799,12662.546,2294.6213,4964.9087,8759.128,9658.568,2384.1829
55,RPL11,1038152.9,660430.5,780906.06,131546.11,190096.81,119158.86,97413.914,76751.33,94063.66,48818.965,242007.25,442482.06,696217.44,219195.33,124617.234,154708.16,129280.21,21651.875,47826.137,111344.52,143566.6,31103.762
56,NMT2,2606.1733,1622.349,1180.8629,343.14838,655.8999,418.23822,387.41324,250.59575,464.72964,1017.6229,147.44595,1274.6382,1551.7356,527.99097,312.56076,1169.1827,2325.0103,495.0442,1351.234,1834.3021,3498.2468,785.3702
57,ZNF26,1449.861,1412.098,1192.4806,384.3371,398.58716,221.59831,175.88226,155.25505,306.02725,491.46655,173.1072,703.82544,949.9125,303.33328,150.55635,653.5508,1084.8591,402.8938,924.78705,956.0324,1134.6484,207.51558
58,MT-CO3,573826.25,541162.94,591706.2,90366.016,76171.86,132444.9,68847.23,126462.51,99393.05,43636.875,154184.23,417237.7,410773.6,150996.7,112211.48,188025.11,147163.44,25970.113,61144.754,128982.06,102155.73,32469.51
59,CSF2RB,216.21461,298.3226,475.6429,313.6011,1526.4598,3579.5806,2188.1233,7422.376,3090.0217,1936.5118,171.09544,597.5439,397.0643,1744.0557,2746.6187,16270.617,11957.019,1007.89136,1860.8242,7496.558,1724.7555,996.73987
60,TMSB4X,608778.75,398238.8,566354.5,305318.34,492212.1,279733.75,258720.25,219249.58,370826.1,84648.305,158637.55,368094.38,756013.1,332916.84,283951.9,678804.5,457992.72,36023.88,73719.14,170613.64,169588.97,47617.574
61,VCAN,6198.435,12277.1875,24199.908,6513.0903,8065.216,7033.954,10192.6455,22812.922,4780.5723,147688.89,19004.48,15838.92,15242.308,1084.64,513.39923,11656.596,73667.33,34548.54,70414.79,236926.44,67453.805,52315.66
62,S100A8,204748.64,439760.12,126781.83,187619.92,1055307.1,915082.4,391908.0,1980355.4,1686011.6,291994.2,801990.3,1109274.6,430462.28,3521561.8,5315973.5,3122106.2,1113946.4,116533.945,198929.02,486723.97,215140.0,152562.98
63,NEU1,2281.4968,1821.6459,3158.1504,519.91534,1098.8876,537.43677,411.1024,727.5166,805.452,1310.5703,1561.1539,1498.3427,1962.3688,1027.9198,987.4781,2397.012,1942.309,1044.617,1439.5688,2392.7578,1526.6666,934.25385
64,B4GALT1,8551.989,5215.6606,8758.35,2230.869,2112.341,1072.1327,1119.6644,1182.2178,1848.8066,5863.6416,3465.2622,3932.7559,6853.2666,3198.2317,3030.1309,5741.1987,8429.894,3120.1016,7295.847,10700.302,6611.781,2436.7407
65,HIPK2,2246.9275,2087.4636,4076.9282,952.9678,1169.2422,540.41064,360.73416,762.0145,1023.811,5647.081,3029.0967,2250.0342,3022.4036,1140.6261,1182.4617,2492.6064,10617.38,3012.3875,6542.6196,11250.694,11279.334,2981.362
66,PANK2,3317.1692,2053.4014,3863.1565,943.0567,1997.5475,1386.4171,1682.6572,1036.1676,1575.1138,2329.0815,1220.0325,2494.2236,3131.8987,1623.3597,1646.6736,4783.928,4704.898,1252.5334,2346.2075,3993.4224,3275.966,838.90234
67,ABCD1,1415.874,1017.61414,646.8089,410.15198,495.0543,313.5765,345.9704,180.57779,473.80997,368.81656,472.92465,843.3882,1087.4471,492.09903,525.37787,823.69147,1435.7838,172.12639,273.84177,645.64453,331.42294,189.91406
