Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
Healthy 0,0.0300365951136813,0,0,0.552986622854123,0.0428789256022795,0.0575504189096806,0.024608392119412,0,0,0,0.0723806449618925,0.0561019293893445,0.127972994140405,0,0,0.0125034162111278,0,0,0.0229800606980536,0,0,0,0,0.691894366783905,0.722639619073387
Healthy 1,0.0200722509476831,0,0,0.266101701546805,0,0.149120118096105,0.0138458388049681,0,0,0,0,0.152068896088024,0.0751091167063985,0,0,0,0,0.0061567906214596,0,0.316702656608872,0.000822630579685339,0,0,0.581592223662363,0.813835380817899
Healthy 2,0.0202140102544364,0,0,0.248437279246698,0,0.159921668014119,0.000968885938132035,0,0,0,0,0.147763945515569,0.0705828045227132,0,0,0,0,0.00589486682328467,0,0.345176658001257,0.000964735006657203,7.51466771339027e-05,0,0.573376312775996,0.820427756022234
Healthy 3,0.0131910623943198,0,0.00207573986296248,0.221416292134388,0.155144686249029,0.256011008192246,0.0130807234777181,0,0,0,0.0563915448642055,0.0891877557028079,0.0584657138991245,0,0,0,0,0.00905258590037261,0,0.124803727675796,0.00117915964702884,0,0,0.585334132371841,0.810202986441228
Healthy 4,0.0204601784079453,0,0.00176157756506825,0.224144934893435,0.245923535305334,0.272675720841278,0.0275595788402696,0,0,0,0.11127393830145,0.0411386777878321,0.0438661549030315,0.00247208263345749,0,0,0,0.00435981618838258,0.00318958914920754,0,0.00117421518330914,0,0,0.613147280275734,0.790385710675241
Healthy 5,0.034493255158426,0,0,0.412078985844057,0.0266340936321263,0.329792279754015,0,0,0,0,0.0159836715402128,0.089733680555295,0.0833315179546583,0.00433122891698824,0,0,0,0,0.00362128664422162,0,0,0,0,0.683436250524487,0.729378330896802
Healthy 6,0.0287116400348842,0.0264063986361872,0,0.243188875674161,0.148889904926857,0.235863228544181,0,0,0,0,0.0314094474900412,0.061072237283133,0.190295505525996,0,0,0,0,0.00895283961165113,0,0.0116538173105897,0.0135561049623195,0,0,0.603867755988871,0.797151138409347
Healthy 7,0.0602504062861524,0,0,0.45130786717964,0,0.0234174786799428,0,0,0,0,0.14366197542704,0.15011965529677,0.123978297694509,0.00164287988944772,0,0.0230237541736023,0,0.00495498039385236,0.0176427049790435,0,0,0,0,0.667566304524844,0.744816011307062
Healthy 8,0.0404235740012613,0,0.000291700855561662,0.320558292087632,0.23329258672741,0.135161059679124,0.0534538750823935,0,0,0,0.0930848778998431,0.0534654035919775,0.0520012698226314,0.00502707838697685,0,0,0,0.00494592789861279,0.00761518746913743,0,0.000679166497438192,0,0,0.639147304015218,0.768283887627066
Healthy 9,0.0420426006032111,0,0,0.406891226999952,0.0574705531915547,0.227304824205442,0.016062436292273,0,0,0,0.0505241045440237,0.0594651495985969,0.129425846847671,0,0,0,0,0.0071897698261921,0.00362348789108286,0,0,0,0,0.640695992435088,0.767077397408534
Healthy 10,0.0514320440750031,0,0,0.391006609013405,0,0.227473076556203,0,0,0,0,0.0993746004898447,0.085494051804393,0.130098179372421,0,0,0,0,0.00477942779723326,0.0103420108914973,0,0,0,0,0.652930121961286,0.756909276450332
Healthy 11,0.0695193546002779,0,0,0.419528478620386,0,0.195791450765008,0.0640183839040994,0,0,0,0.0947885690321883,0.0398353365732301,0.108365701210322,0,0,0.000452177575323971,0,0,0.00527862097131582,0,0,0.00242192674784802,0,0.626042116115581,0.779057552981244
Healthy 12,0.0584819298403651,0,0,0.295640124246005,0.0502265189944503,0.30040130354682,0.0142856521603979,0,0,0,0.146491814866501,0.0249197478731746,0.100429405133237,0,0,0.0011477002659114,0,0,0.00379489228383214,0,0,0.00418091078930516,0,0.641476179659116,0.766493701652972
Healthy 14,0.0661834944139579,0.00061606566405093,0,0.1226989284767,0.274824176094296,0.204014600559043,0.0262405542745359,0,0,0,0.15200274397558,0.0501978789440922,0.0897528754551793,0.00206750136365862,0,0,0,0,0.00902248985936474,0,0,0.00237869091954125,0,0.668677053102152,0.746108544478566
